ArrivalRate,NbSentPackets,NbReceivedPackets,Latency,Throughput
100,101,100,0.0012166,1.2
200,201,200,0.0012182,2.4
300,301,300,0.0012192,3.6
400,401,400,0.0012195,4.8
500,501,500,0.0012194,6
600,600,600,0.0012197,7.2
700,701,700,0.0011876,8.4
800,801,799,0.0022684,9.588
900,901,896,0.003418,10.752
1000,1001,980,0.012296,11.76
1100,1100,981,0.05554,11.772
1200,1201,983,0.091805,11.796
1300,1300,986,0.12357,11.832
1400,1400,985,0.14982,11.82
1500,1482,986,0.17396,11.832
1600,1483,986,0.19448,11.832
1700,1482,982,0.21146,11.784
1800,1482,982,0.22749,11.784
1900,1482,982,0.24183,11.784
2000,1483,983,0.25536,11.796
2100,1484,984,0.26667,11.808
2200,1484,984,0.27592,11.808
2300,1484,984,0.28377,11.808
2400,1484,984,0.29051,11.808
2500,1484,984,0.29636,11.808
2600,1484,984,0.30148,11.808
2700,1484,984,0.30601,11.808
2800,1485,985,0.31001,11.82
2900,1485,985,0.31363,11.82
3000,1485,985,0.31688,11.82
3100,1485,985,0.31982,11.82
3200,1485,985,0.3225,11.82
3300,1485,985,0.32494,11.82
3400,1485,985,0.32718,11.82
3500,1486,986,0.32916,11.832
3600,1486,986,0.33108,11.832
3700,1486,986,0.33284,11.832
3800,1486,986,0.33448,11.832
3900,1486,986,0.33602,11.832
4000,1486,986,0.33745,11.832
4100,1486,986,0.33878,11.832
4200,1486,986,0.34004,11.832
4300,1486,986,0.34122,11.832
4400,1486,986,0.34232,11.832
4500,1486,986,0.34337,11.832
4600,1486,986,0.34436,11.832
4700,1486,986,0.34529,11.832
4800,1486,986,0.34618,11.832
4900,1486,986,0.34702,11.832
5000,1486,986,0.34782,11.832
5100,1486,986,0.34858,11.832
5200,1486,986,0.3493,11.832
5300,1486,986,0.34999,11.832
5400,1486,986,0.35065,11.832
5500,1486,986,0.35128,11.832
5600,1486,986,0.35189,11.832
5700,1486,986,0.35246,11.832
5800,1486,986,0.35302,11.832
5900,1486,986,0.35354,11.832
6000,1486,986,0.35406,11.832
6100,1486,986,0.35454,11.832
6200,1486,986,0.35501,11.832
6300,1486,986,0.35547,11.832
6400,1486,986,0.3559,11.832
6500,1486,986,0.35633,11.832
6600,1486,986,0.35673,11.832
6700,1486,986,0.35712,11.832
6800,1486,986,0.3575,11.832
6900,1486,986,0.35787,11.832
7000,1486,986,0.35822,11.832
7100,1486,986,0.35856,11.832
7200,1486,986,0.3589,11.832
7300,1486,986,0.35921,11.832
7400,1486,986,0.35953,11.832
7500,1486,986,0.35983,11.832
7600,1486,986,0.36012,11.832
7700,1486,986,0.3604,11.832
7800,1486,986,0.36068,11.832
7900,1486,986,0.36094,11.832
8000,1486,986,0.3612,11.832
8100,1486,986,0.36145,11.832
8200,1486,986,0.3617,11.832
8300,1486,986,0.36194,11.832
8400,1486,986,0.36217,11.832
8500,1486,986,0.3624,11.832
8600,1486,986,0.36261,11.832
8700,1486,986,0.36283,11.832
8800,1486,986,0.36304,11.832
8900,1486,986,0.36324,11.832
9000,1486,986,0.36344,11.832
9100,1486,986,0.36363,11.832
9200,1486,986,0.36382,11.832
9300,1486,986,0.36401,11.832
9400,1486,986,0.36418,11.832
9500,1487,987,0.36415,11.844
9600,1487,987,0.36432,11.844
9700,1487,987,0.36449,11.844
9800,1487,987,0.36465,11.844
9900,1487,987,0.36481,11.844
10000,1487,987,0.36497,11.844
