Arrival Rate (pps),Packets Sent,Packets Received,Throughput,Throughput_PPS,Jitter,Lost_Packets
100,6000,6000,1.199,100,10.87186734347336,0
200,12000,12000,2.399,200,5.731768647011635,0
300,18000,18000,3.599,300,4.25118762150864,0
400,24000,24000,4.799,400,1.3369816796498437,0
500,30000,30000,5.999,500,2.1016322068610465,0
600,36000,36000,7.199,600,1.8116392602829767,0
700,42000,42000,8.399,700,1.28410201217439,0
800,48000,48000,9.599,800,0.8441837511303393,0
900,53887,53887,10.777,898,2.8007362966319715,0
1000,60000,60000,11.999,1000,0.6411399105290146,0
1100,65971,65971,13.194,1099,1.1769704226452065,0
1200,71999,71999,14.399,1199,0.4269148118170357,0
1300,77999,77999,15.599,1299,0.26080407887301416,0
1400,83999,83999,16.799,1399,0.266847731123559,0
1500,89999,89999,17.999,1499,0.20040505918206114,0
1600,95911,95911,19.182,1598,1.6507907428229975,0
1700,101999,101999,20.399,1699,0.19183949277382753,272
1800,107999,107999,21.599,1799,0.13948161512221094,0
1900,113999,113999,22.799,1899,0.08045513537711273,0
2000,119999,119999,23.999,1999,1.9655527411691385,0
2100,125920,125920,25.183,2098,0.8247289193100394,0
2200,131598,131598,26.319,2193,1.475000739137065,2
2300,137925,137925,27.584,2298,0.7839158865257624,2
2400,143998,143998,28.799,2399,1.0321658442347919,2
2500,149998,149998,29.999,2499,0.08224951317451373,16
2600,155998,155998,31.199,2599,0.14411053860683268,10
2700,161998,161998,32.399,2699,0.055010482858041755,2
2800,167392,167392,33.478,2789,1.153098010599264,6
2900,173998,173998,34.799,2899,0.1799297756699904,2
3000,179998,179998,35.999,2999,0.15364611284948015,4
3100,185998,185998,37.199,3099,0.15499472596159325,4
3200,191998,191998,38.399,3199,0.10421186542547625,2
3300,197998,197998,39.599,3299,0.1330890739228759,2
3400,203305,203305,40.660,3388,5.03324159329277,115
3500,209495,209495,41.898,3491,0.44098007644283443,24
3600,215855,215855,43.170,3597,0.4283459979766682,2
3700,221866,221866,44.373,3697,0.664632993444472,2
3800,227838,227838,45.567,3797,0.736054628796791,7
3900,233849,233849,46.769,3897,0.602864907361342,49
4000,239852,239852,47.970,3997,0.6245048096700256,14
4100,245847,245847,49.169,4097,0.638874111618005,2
4200,251997,251997,50.399,4199,0.03468423495806812,2
4300,257799,257799,51.559,4296,0.8954288476719534,184
4400,263794,263794,52.758,4396,0.580263801805055,42
4500,269806,269806,53.961,4496,0.6136128785498095,26
4600,275806,275806,55.161,4596,0.6157376743040596,46
4700,281321,281321,56.264,4688,3.8876313469897754,89
4800,287834,287834,57.566,4797,0.8781205765119033,2
4900,293996,293996,58.799,4899,0.05109763106374035,2
5000,299776,299776,59.955,4996,0.56553499591842,104
