Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s),Throughput
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,984,0.011769,11.808
1000,1,AP->STA1,1001,974,0.015641,11.688
1000,1,AP->STA1,1001,876,0.06945,10.512
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,1,AP->STA1,985,0,0,0
1000,20,AP->STA1,20001,19749,0.12935,11.8494
