Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s),Throughput
1000,1,STA1->AP1,950,438,0.26606,5.256
1000,1,STA2->AP2,1001,551,0.26606,6.612
1000,1,STA1->AP1,1001,528,0.24101,6.336
1000,1,STA2->AP2,1001,501,0.24101,6.012
1000,1,STA1->AP1,1001,538,0.23527,6.456
1000,1,STA2->AP2,991,491,0.23527,5.892
1000,1,STA1->AP1,1001,538,0.23527,6.456
1000,1,STA2->AP2,991,491,0.23527,5.892
1000,1,STA1->AP1,1001,538,0.23527,6.456
1000,1,STA2->AP2,991,491,0.23527,5.892
1000,1,STA1->AP1,1001,538,0.23527,6.456
1000,1,STA2->AP2,991,491,0.23527,5.892
1000,1,STA1->AP1,1001,538,0.23527,6.456
1000,1,STA2->AP2,991,491,0.23527,5.892
1000,1,STA1->AP1,1001,538,0.23527,6.456
1000,1,STA2->AP2,991,491,0.23527,5.892
1000,1,STA1->AP1,1001,538,0.23527,6.456
1000,1,STA2->AP2,991,491,0.23527,5.892
1000,1,STA1->AP1,992,493,0.24754,5.916
1000,1,STA2->AP2,1001,511,0.24754,6.132
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
1000,1,STA1->AP1,1001,983,0.012061,11.796
1000,1,STA2->AP2,1001,983,0.012061,11.796
