Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
100,5,AP->STA1,500,500,0.00104146
200,5,AP->STA1,1000,1000,0.00104769
300,5,AP->STA1,1501,1500,0.0010521
400,5,AP->STA1,2000,2000,0.0010517
500,5,AP->STA1,2500,2500,0.00106848
600,5,AP->STA1,3000,2999,0.00108722
700,5,AP->STA1,3501,3498,0.00114226
800,5,AP->STA1,4000,3998,0.00130062
900,5,AP->STA1,4501,4496,0.00261201
1000,5,AP->STA1,5000,4847,0.0726956
1100,5,AP->STA1,5500,4847,0.28961
1200,5,AP->STA1,6001,4835,0.443008
1300,5,AP->STA1,6500,4835,0.574401
1400,5,AP->STA1,7000,4829,0.695282
1500,5,AP->STA1,7500,4829,0.804229
1600,5,AP->STA1,8000,4829,0.901642
1700,5,AP->STA1,8501,4829,0.989704
1800,5,AP->STA1,9000,4829,1.06873
1900,5,AP->STA1,9500,4829,1.13994
2000,5,AP->STA1,10000,4829,1.20527
2100,5,AP->STA1,10501,4829,1.26438
2200,5,AP->STA1,11001,4829,1.31872
2300,5,AP->STA1,11500,4829,1.36815
2400,5,AP->STA1,12000,4829,1.4135
2500,5,AP->STA1,12500,4829,1.456
2600,5,AP->STA1,13001,4829,1.49479
2700,5,AP->STA1,13501,4829,1.5313
2800,5,AP->STA1,14000,4829,1.56469
2900,5,AP->STA1,14500,4829,1.59645
3000,5,AP->STA1,15001,4829,1.62562
3100,5,AP->STA1,15500,4829,1.65305
3200,5,AP->STA1,16000,4829,1.67911
3300,5,AP->STA1,16501,4829,1.70327
3400,5,AP->STA1,17000,4829,1.72626
3500,5,AP->STA1,17501,4829,1.74783
3600,5,AP->STA1,18000,4829,1.76808
3700,5,AP->STA1,18501,4829,1.78763
3800,5,AP->STA1,19000,4829,1.80589
3900,5,AP->STA1,19501,4829,1.82335
4000,5,AP->STA1,20000,4829,1.83981
4100,5,AP->STA1,20501,4829,1.85571
4200,5,AP->STA1,21001,4829,1.87062
4300,5,AP->STA1,21501,4829,1.88483
4400,5,AP->STA1,22000,4829,1.89863
4500,5,AP->STA1,22501,4829,1.9117
4600,5,AP->STA1,23001,4829,1.92432
4700,5,AP->STA1,23500,4829,1.93618
4800,5,AP->STA1,24001,4829,1.94755
4900,5,AP->STA1,24500,4829,1.95877
5000,5,AP->STA1,25000,4829,1.96923
