Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
100,1,AP->STA1,100,100,0.00108661
200,1,AP->STA1,200,200,0.00108519
300,1,AP->STA1,301,300,0.00110241
400,1,AP->STA1,400,400,0.00111067
500,1,AP->STA1,500,500,0.00113627
600,1,AP->STA1,600,599,0.001144
700,1,AP->STA1,701,698,0.00117981
800,1,AP->STA1,800,798,0.00136052
900,1,AP->STA1,901,896,0.00274296
1000,1,AP->STA1,1000,968,0.0181559
1100,1,AP->STA1,1100,968,0.061476
1200,1,AP->STA1,1201,968,0.0975763
1300,1,AP->STA1,1300,968,0.128889
1400,1,AP->STA1,1400,968,0.155017
1500,1,AP->STA1,1500,968,0.178325
1600,1,AP->STA1,1600,968,0.198098
1700,1,AP->STA1,1701,968,0.21613
1800,1,AP->STA1,1800,968,0.231605
1900,1,AP->STA1,1900,968,0.245451
2000,1,AP->STA1,2000,968,0.258336
2100,1,AP->STA1,2101,968,0.269384
2200,1,AP->STA1,2201,968,0.279918
2300,1,AP->STA1,2300,968,0.289119
2400,1,AP->STA1,2400,968,0.297561
2500,1,AP->STA1,2500,968,0.305752
2600,1,AP->STA1,2601,968,0.312933
2700,1,AP->STA1,2701,968,0.319959
2800,1,AP->STA1,2800,968,0.32613
2900,1,AP->STA1,2900,968,0.332227
3000,1,AP->STA1,3001,968,0.33759
3100,1,AP->STA1,3100,968,0.342614
3200,1,AP->STA1,3200,968,0.347641
3300,1,AP->STA1,3301,968,0.35206
3400,1,AP->STA1,3400,968,0.356511
3500,1,AP->STA1,3501,968,0.360431
3600,1,AP->STA1,3600,968,0.364131
3700,1,AP->STA1,3701,968,0.367905
3800,1,AP->STA1,3800,968,0.371218
3900,1,AP->STA1,3901,968,0.374614
4000,1,AP->STA1,4000,968,0.377597
4100,1,AP->STA1,4101,968,0.380678
4200,1,AP->STA1,4201,968,0.383375
4300,1,AP->STA1,4301,968,0.385947
4400,1,AP->STA1,4400,968,0.388629
4500,1,AP->STA1,4501,968,0.390979
4600,1,AP->STA1,4601,968,0.393439
4700,1,AP->STA1,4700,968,0.395579
4800,1,AP->STA1,4801,968,0.39763
4900,1,AP->STA1,4900,968,0.39981
5000,1,AP->STA1,5000,968,0.401693
5100,1,AP->STA1,5101,968,0.403707
5200,1,AP->STA1,5200,968,0.405447
5300,1,AP->STA1,5301,968,0.407125
5400,1,AP->STA1,5401,968,0.408922
5500,1,AP->STA1,5501,968,0.410476
5600,1,AP->STA1,5601,968,0.41215
5700,1,AP->STA1,5700,968,0.413596
5800,1,AP->STA1,5800,968,0.415156
5900,1,AP->STA1,5900,968,0.416501
6000,1,AP->STA1,6000,968,0.417804
6100,1,AP->STA1,6101,968,0.419215
6200,1,AP->STA1,6201,968,0.420432
6300,1,AP->STA1,6301,968,0.421762
6400,1,AP->STA1,6400,968,0.422896
6500,1,AP->STA1,6501,968,0.424
6600,1,AP->STA1,6601,968,0.425217
6700,1,AP->STA1,6700,968,0.426247
6800,1,AP->STA1,6800,968,0.4274
6900,1,AP->STA1,6900,968,0.428375
7000,1,AP->STA1,7001,968,0.429456
7100,1,AP->STA1,7101,968,0.430372
7200,1,AP->STA1,7200,968,0.431265
7300,1,AP->STA1,7301,968,0.432266
7400,1,AP->STA1,7401,968,0.433105
7500,1,AP->STA1,7501,968,0.434057
7600,1,AP->STA1,7600,968,0.434854
7700,1,AP->STA1,7701,968,0.435631
7800,1,AP->STA1,7801,968,0.436511
7900,1,AP->STA1,7901,968,0.437242
8000,1,AP->STA1,8000,968,0.438084
8100,1,AP->STA1,8100,968,0.438783
8200,1,AP->STA1,8201,968,0.439582
8300,1,AP->STA1,8300,968,0.440245
8400,1,AP->STA1,8400,968,0.440889
8500,1,AP->STA1,8501,968,0.441638
8600,1,AP->STA1,8601,968,0.442255
8700,1,AP->STA1,8700,968,0.442972
