Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
1000,1,AP->STA1,1000,968,0.0181559
2000,1,AP->STA1,2000,968,0.258297
3000,1,AP->STA1,3001,968,0.316414
4000,1,AP->STA1,4000,968,0.33616
5000,1,AP->STA1,5000,968,0.346101
6000,1,AP->STA1,6000,968,0.352114
7000,1,AP->STA1,7001,968,0.356215
8000,1,AP->STA1,8000,968,0.359067
9000,1,AP->STA1,9001,968,0.361222
10000,1,AP->STA1,10000,968,0.36289
11000,1,AP->STA1,11001,968,0.364229
12000,1,AP->STA1,12001,968,0.365322
13000,1,AP->STA1,13001,968,0.366238
14000,1,AP->STA1,14000,968,0.367052
15000,1,AP->STA1,15000,968,0.367707
16000,1,AP->STA1,16000,968,0.368284
17000,1,AP->STA1,17000,968,0.368779
18000,1,AP->STA1,18000,968,0.369225
19000,1,AP->STA1,19000,968,0.369621
20000,1,AP->STA1,20000,968,0.369975
