Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
100,10,STA1->AP,1000,1000,0.00141409
100,10,STA2->AP,1000,1000,0.00239105
200,10,STA1->AP,2000,2000,0.00141058
200,10,STA2->AP,2000,2000,0.00243793
300,10,STA1->AP,3001,3000,0.00159011
300,10,STA2->AP,3001,2999,0.00246662
400,10,STA1->AP,4000,4000,0.00276295
400,10,STA2->AP,4000,3996,0.00428485
500,10,STA1->AP,5000,4988,0.0136322
500,10,STA2->AP,5000,4051,0.4317
600,10,STA1->AP,6000,5951,0.0501539
600,10,STA2->AP,6000,3278,0.469205
700,10,STA1->AP,7001,6891,0.163966
700,10,STA2->AP,7001,2477,0.472622
800,10,STA1->AP,8000,7512,0.386194
800,10,STA2->AP,8000,1915,0.467945
900,10,STA1->AP,9001,7179,0.416529
900,10,STA2->AP,9001,2238,0.488536
1000,10,STA1->AP,10000,7079,0.468837
1000,10,STA2->AP,10000,2281,0.45377
1100,10,STA1->AP,11000,6673,0.453811
1100,10,STA2->AP,11000,2645,0.4741
1200,10,STA1->AP,12001,7031,0.459871
1200,10,STA2->AP,12001,2323,0.478196
1300,10,STA1->AP,13000,7074,0.462305
1300,10,STA2->AP,13000,2303,0.473892
1400,10,STA1->AP,14000,7556,0.468014
1400,10,STA2->AP,14000,1950,0.457484
1500,10,STA1->AP,15000,7380,0.469794
1500,10,STA2->AP,15000,2048,0.45825
1600,10,STA1->AP,16000,7311,0.470706
1600,10,STA2->AP,16000,2112,0.43328
1700,10,STA1->AP,17001,7107,0.474012
1700,10,STA2->AP,17001,2373,0.451906
1800,10,STA1->AP,18000,7403,0.472116
1800,10,STA2->AP,18000,2025,0.4554
1900,10,STA1->AP,19000,7004,0.475324
1900,10,STA2->AP,19000,2363,0.449143
2000,10,STA1->AP,20000,6797,0.475041
2000,10,STA2->AP,20000,2581,0.448551
2100,10,STA1->AP,21001,7191,0.47733
2100,10,STA2->AP,21001,2278,0.419425
2200,10,STA1->AP,22001,6738,0.476942
2200,10,STA2->AP,22001,2666,0.456951
2300,10,STA1->AP,23000,7247,0.479078
2300,10,STA2->AP,23000,2188,0.440361
2400,10,STA1->AP,24000,7066,0.478742
2400,10,STA2->AP,24000,2334,0.453156
2500,10,STA1->AP,25000,6847,0.478244
2500,10,STA2->AP,25000,2558,0.450638
2600,10,STA1->AP,26001,6834,0.469678
2600,10,STA2->AP,26001,2592,0.441443
2700,10,STA1->AP,27001,7061,0.475918
2700,10,STA2->AP,27001,2345,0.449594
2800,10,STA1->AP,28000,6533,0.470276
2800,10,STA2->AP,28000,2844,0.452359
2900,10,STA1->AP,29000,7236,0.479829
2900,10,STA2->AP,29000,2213,0.43524
3000,10,STA1->AP,30001,7271,0.479983
3000,10,STA2->AP,30001,2213,0.417803
3100,10,STA1->AP,31000,7073,0.479289
3100,10,STA2->AP,31000,2328,0.443887
3200,10,STA1->AP,32000,6852,0.478942
3200,10,STA2->AP,32000,2478,0.441899
3300,10,STA1->AP,33001,7173,0.480142
3300,10,STA2->AP,33001,2283,0.445336
3400,10,STA1->AP,34000,6429,0.476238
3400,10,STA2->AP,34000,2958,0.446034
3500,10,STA1->AP,35001,6625,0.478216
3500,10,STA2->AP,35001,2738,0.458194
3600,10,STA1->AP,36000,6859,0.479654
3600,10,STA2->AP,36000,2503,0.447182
3700,10,STA1->AP,37001,6860,0.479317
3700,10,STA2->AP,37001,2543,0.44647
3800,10,STA1->AP,38000,7160,0.480359
3800,10,STA2->AP,38000,2298,0.421597
3900,10,STA1->AP,39001,6856,0.479419
3900,10,STA2->AP,39001,2543,0.444778
4000,10,STA1->AP,40000,6790,0.479565
4000,10,STA2->AP,40000,2593,0.444397
4100,10,STA1->AP,41001,6978,0.479916
4100,10,STA2->AP,41001,2473,0.423516
4200,10,STA1->AP,42001,6505,0.476962
4200,10,STA2->AP,42001,2871,0.439674
4300,10,STA1->AP,43001,6459,0.476809
4300,10,STA2->AP,43001,2926,0.439128
4400,10,STA1->AP,44000,7129,0.480875
4400,10,STA2->AP,44000,2318,0.421189
4500,10,STA1->AP,45001,6448,0.469656
4500,10,STA2->AP,45001,2900,0.439004
4600,10,STA1->AP,46001,6748,0.479767
4600,10,STA2->AP,46001,2671,0.429613
4700,10,STA1->AP,47000,6786,0.480255
4700,10,STA2->AP,47000,2603,0.455121
4800,10,STA1->AP,48001,6786,0.480347
4800,10,STA2->AP,48001,2603,0.4548
4900,10,STA1->AP,49000,6741,0.480016
4900,10,STA2->AP,49000,2693,0.445987
5000,10,STA1->AP,50000,6872,0.480421
5000,10,STA2->AP,50000,2573,0.443926
5100,10,STA1->AP,51001,6636,0.479928
5100,10,STA2->AP,51001,2788,0.442973
5200,10,STA1->AP,52000,6868,0.480681
5200,10,STA2->AP,52000,2573,0.444996
5300,10,STA1->AP,53001,6704,0.480364
5300,10,STA2->AP,53001,2703,0.448443
5400,10,STA1->AP,54001,6778,0.480628
5400,10,STA2->AP,54001,2643,0.440984
5500,10,STA1->AP,55001,6615,0.479821
5500,10,STA2->AP,55001,2788,0.449844
5600,10,STA1->AP,56001,6991,0.481045
5600,10,STA2->AP,56001,2458,0.443595
5700,10,STA1->AP,57000,6991,0.481199
5700,10,STA2->AP,57000,2458,0.442938
5800,10,STA1->AP,58000,6921,0.48139
5800,10,STA2->AP,58000,2508,0.437105
5900,10,STA1->AP,59000,6991,0.481302
5900,10,STA2->AP,59000,2458,0.443023
6000,10,STA1->AP,60000,6991,0.481386
6000,10,STA2->AP,60000,2458,0.443076
6100,10,STA1->AP,61001,6783,0.480726
6100,10,STA2->AP,61001,2656,0.440338
6200,10,STA1->AP,62001,6973,0.481354
6200,10,STA2->AP,62001,2493,0.424999
6300,10,STA1->AP,63001,6783,0.480511
6300,10,STA2->AP,63001,2656,0.440366
6400,10,STA1->AP,64000,6783,0.480503
6400,10,STA2->AP,64000,2656,0.440423
6500,10,STA1->AP,65001,6973,0.481191
